,From,To,DateTime,Duration.seconds.,Cell.Tower
53,326,90,6/1/2006 4:21,845,18
54,94,362,6/1/2006 4:24,943,6
55,68,323,6/1/2006 4:26,710,28
56,269,240,6/1/2006 4:50,1087,6
57,293,51,6/1/2006 4:52,1274,22
58,6,254,6/1/2006 4:54,1264,29
59,281,1,6/1/2006 5:02,1116,28
60,383,5,6/1/2006 5:04,1212,10
61,247,103,6/1/2006 5:06,995,22
62,303,131,6/1/2006 5:06,797,26
63,314,5,6/1/2006 5:16,1247,17
64,0,1,6/1/2006 5:19,1835,7
65,365,91,6/1/2006 5:24,1124,21
66,111,42,6/1/2006 5:26,1201,29
67,209,71,6/1/2006 5:26,953,28
68,157,374,6/1/2006 5:41,909,1
69,107,1,6/1/2006 5:59,908,28
70,47,24,6/1/2006 6:03,905,28
71,202,158,6/1/2006 6:06,672,22
72,102,15,6/1/2006 6:09,659,13
73,347,205,6/1/2006 6:15,971,22
74,380,120,6/1/2006 6:16,1022,29
75,14,130,6/1/2006 6:21,712,18
76,7,253,6/1/2006 6:38,1205,29
77,75,30,6/1/2006 6:43,757,17
78,59,11,6/1/2006 6:54,898,11
79,89,353,6/1/2006 6:54,1275,11
80,291,204,6/1/2006 7:01,933,11
81,125,94,6/1/2006 7:09,1453,29
82,331,78,6/1/2006 7:12,1489,28
83,1,200,6/1/2006 7:21,1454,29
84,301,275,6/1/2006 7:30,1825,17
85,259,148,6/1/2006 7:32,779,30
86,233,42,6/1/2006 7:34,970,11
87,78,52,6/1/2006 7:38,677,16
88,23,92,6/1/2006 7:57,1304,11
89,296,227,6/1/2006 8:04,971,11
90,189,361,6/1/2006 8:05,1389,11
91,385,179,6/1/2006 8:08,896,6
92,35,72,6/1/2006 8:10,1122,15
93,267,387,6/1/2006 8:10,1048,30
94,272,215,6/1/2006 8:13,967,11
95,357,158,6/1/2006 8:13,979,25
96,230,93,6/1/2006 8:14,1744,28
97,307,51,6/1/2006 8:14,876,7
98,236,167,6/1/2006 8:15,1226,1
99,16,8,6/1/2006 8:16,1033,11
100,134,256,6/1/2006 8:16,497,27
101,335,14,6/1/2006 8:16,1732,10
102,283,131,6/1/2006 8:17,1468,28
103,77,5,6/1/2006 8:18,987,5
104,324,120,6/1/2006 8:18,809,22
105,164,55,6/1/2006 8:19,1216,30
106,358,30,6/1/2006 8:19,1011,30
107,88,53,6/1/2006 8:20,1405,29
108,124,9,6/1/2006 8:21,1491,1
109,171,95,6/1/2006 8:22,1063,27
110,194,291,6/1/2006 8:22,692,19
111,225,319,6/1/2006 8:23,965,30
112,377,117,6/1/2006 8:23,1584,28
113,380,120,6/1/2006 8:23,696,29
114,88,79,6/1/2006 8:25,1119,29
115,243,320,6/1/2006 8:25,933,1
116,38,182,6/1/2006 8:27,1585,1
117,157,61,6/1/2006 8:28,1186,1
118,323,68,6/1/2006 8:29,942,10
119,44,174,6/1/2006 8:33,1295,21
120,81,23,6/1/2006 8:34,1238,10
121,17,0,6/1/2006 8:35,1449,23
122,54,264,6/1/2006 8:36,1589,29
123,223,160,6/1/2006 8:36,955,30
124,202,221,6/1/2006 8:37,624,22
125,145,0,6/1/2006 8:38,850,29
126,42,233,6/1/2006 8:39,1493,13
127,188,70,6/1/2006 8:39,1284,29
128,75,30,6/1/2006 8:43,1146,17
129,377,117,6/1/2006 8:43,1321,8
130,111,42,6/1/2006 8:44,939,29
131,120,173,6/1/2006 8:44,1458,29
132,97,5,6/1/2006 8:45,937,22
133,239,247,6/1/2006 8:45,1442,18
134,205,19,6/1/2006 8:46,925,29
135,369,320,6/1/2006 8:46,853,22
136,144,23,6/1/2006 8:47,697,16
137,231,92,6/1/2006 8:48,678,28
138,102,15,6/1/2006 8:49,964,13
139,277,9,6/1/2006 8:49,1597,28
140,385,90,6/1/2006 8:49,1350,6
141,167,47,6/1/2006 8:53,1344,15
142,130,111,6/1/2006 8:54,405,28
143,240,95,6/1/2006 8:54,1093,30
144,266,389,6/1/2006 8:54,1090,11
145,379,317,6/1/2006 8:54,963,24
146,117,377,6/1/2006 8:55,675,28
147,307,51,6/1/2006 8:55,792,7
148,85,126,6/1/2006 8:57,416,30
149,55,164,6/1/2006 8:58,1141,20
150,97,5,6/1/2006 9:02,1662,22
151,288,2,6/1/2006 9:02,423,30
152,377,92,6/1/2006 9:02,516,28
153,382,17,6/1/2006 9:05,654,15
154,223,20,6/1/2006 9:06,873,30
155,371,1,6/1/2006 9:07,1288,22
156,380,363,6/1/2006 9:08,687,29
157,313,97,6/1/2006 9:10,1267,28
158,351,38,6/1/2006 9:11,1012,28
159,63,15,6/1/2006 9:12,1227,11
160,14,39,6/1/2006 9:13,790,18
161,191,120,6/1/2006 9:14,598,22
162,339,26,6/1/2006 9:14,1057,30
163,9,18,6/1/2006 9:15,1107,25
164,110,117,6/1/2006 9:15,1233,30
165,24,229,6/1/2006 9:17,1276,30
166,176,148,6/1/2006 9:17,1581,18
167,235,158,6/1/2006 9:17,1056,23
168,252,54,6/1/2006 9:17,745,29
169,325,120,6/1/2006 9:17,1310,18
170,384,189,6/1/2006 9:18,1195,29
171,323,68,6/1/2006 9:19,660,28
172,182,13,6/1/2006 9:20,1338,29
173,170,270,6/1/2006 9:21,1475,23
174,265,24,6/1/2006 9:21,1101,29
175,131,23,6/1/2006 9:23,1307,22
176,174,369,6/1/2006 9:23,1112,30
177,358,103,6/1/2006 9:23,1515,30
178,388,19,6/1/2006 9:23,1063,11
179,285,8,6/1/2006 9:24,1138,30
180,383,92,6/1/2006 9:24,707,10
181,385,179,6/1/2006 9:24,1329,6
182,231,267,6/1/2006 9:29,689,29
183,246,5,6/1/2006 9:29,984,17
184,18,249,6/1/2006 9:31,1026,20
185,240,95,6/1/2006 9:32,1207,30
186,108,13,6/1/2006 9:33,1171,28
187,211,97,6/1/2006 9:34,1441,15
188,167,290,6/1/2006 9:37,936,15
189,296,227,6/1/2006 9:37,1412,11
190,218,97,6/1/2006 9:38,1283,30
191,316,52,6/1/2006 9:38,1262,18
192,56,51,6/1/2006 9:40,1488,28
193,6,5,6/1/2006 9:42,1302,29
194,5,200,6/1/2006 9:44,1533,29
195,48,2,6/1/2006 9:45,1173,28
196,297,15,6/1/2006 9:45,1312,22
197,285,77,6/1/2006 9:46,1472,30
198,121,21,6/1/2006 9:47,918,28
199,245,1,6/1/2006 9:47,1469,22
200,373,41,6/1/2006 9:47,1323,29
201,285,8,6/1/2006 9:50,887,30
202,103,137,6/1/2006 9:54,1187,18
203,22,26,6/1/2006 9:58,1109,24
204,110,148,6/1/2006 9:59,998,30
205,1,2,6/1/2006 10:00,897,29
206,1,3,6/1/2006 10:00,915,29
207,1,5,6/1/2006 10:00,1283,29
208,217,192,6/1/2006 10:00,988,6
209,373,61,6/1/2006 10:00,1561,29
210,123,30,6/1/2006 10:01,1571,25
211,114,87,6/1/2006 10:02,648,1
212,168,2,6/1/2006 10:03,1058,24
213,301,275,6/1/2006 10:03,207,17
214,329,152,6/1/2006 10:03,1081,11
215,304,4,6/1/2006 10:06,763,11
216,177,75,6/1/2006 10:08,1430,22
217,291,204,6/1/2006 10:09,711,28
218,243,146,6/1/2006 10:10,948,1
219,269,240,6/1/2006 10:10,1316,11
220,311,1,6/1/2006 10:10,1716,25
221,26,49,6/1/2006 10:11,1145,11
222,303,13,6/1/2006 10:13,1073,26
223,135,12,6/1/2006 10:14,1540,28
224,211,15,6/1/2006 10:14,415,15
225,328,3,6/1/2006 10:14,632,30
226,245,195,6/1/2006 10:15,703,22
227,116,16,6/1/2006 10:17,1383,30
228,351,38,6/1/2006 10:17,777,28
229,41,136,6/1/2006 10:19,1123,11
230,50,68,6/1/2006 10:19,1127,11
231,116,16,6/1/2006 10:19,1088,30
232,63,1,6/1/2006 10:21,1189,11
233,237,206,6/1/2006 10:21,579,20
234,363,134,6/1/2006 10:22,885,29
235,120,140,6/1/2006 10:23,1061,28
236,111,41,6/1/2006 10:24,1655,29
237,26,147,6/1/2006 10:28,1368,11
238,366,5,6/1/2006 10:28,577,7
239,170,190,6/1/2006 10:33,863,23
240,11,20,6/1/2006 10:34,1670,30
241,15,80,6/1/2006 10:34,988,7
242,96,23,6/1/2006 10:34,1059,5
243,251,9,6/1/2006 10:34,613,28
244,328,3,6/1/2006 10:34,1575,30
245,302,334,6/1/2006 10:37,1014,11
246,366,5,6/1/2006 10:37,1341,7
247,200,1,6/1/2006 10:40,270,29
248,294,30,6/1/2006 10:40,1167,22
249,26,49,6/1/2006 10:42,1275,11
250,307,51,6/1/2006 10:42,1045,7
251,25,14,6/1/2006 10:44,1186,29
252,63,15,6/1/2006 10:44,817,11
253,43,14,6/1/2006 10:47,720,15
254,275,251,6/1/2006 10:47,770,30
255,76,71,6/1/2006 10:48,1429,29
256,228,92,6/1/2006 10:48,1245,13
257,256,1,6/1/2006 10:48,1057,20
258,328,142,6/1/2006 10:48,753,30
259,142,18,6/1/2006 10:50,1003,11
260,310,61,6/1/2006 10:51,846,22
261,78,24,6/1/2006 10:52,1190,16
262,52,316,6/1/2006 10:53,835,18
263,174,221,6/1/2006 10:53,1687,30
264,329,152,6/1/2006 10:53,971,28
265,97,5,6/1/2006 10:59,729,22
266,114,5,6/1/2006 10:59,1305,1
267,136,60,6/1/2006 11:00,1211,10
268,197,368,6/1/2006 11:00,1021,29
269,103,274,6/1/2006 11:01,1394,18
270,333,41,6/1/2006 11:01,1483,8
271,31,5,6/1/2006 11:04,1468,30
272,47,231,6/1/2006 11:04,700,28
273,51,275,6/1/2006 11:04,1330,26
274,77,5,6/1/2006 11:04,1721,11
275,15,72,6/1/2006 11:05,837,7
276,137,103,6/1/2006 11:05,933,11
277,189,90,6/1/2006 11:05,1317,29
278,242,46,6/1/2006 11:06,1227,11
279,246,5,6/1/2006 11:06,869,17
280,248,336,6/1/2006 11:06,1345,16
281,371,60,6/1/2006 11:06,1086,22
282,11,59,6/1/2006 11:07,1024,30
283,72,15,6/1/2006 11:07,788,17
284,259,148,6/1/2006 11:08,583,21
285,288,2,6/1/2006 11:08,1260,30
286,126,85,6/1/2006 11:09,1012,8
287,53,233,6/1/2006 11:14,1483,28
288,54,252,6/1/2006 11:14,356,29
289,63,15,6/1/2006 11:15,1178,11
290,88,53,6/1/2006 11:17,1575,29
291,120,191,6/1/2006 11:17,1232,28
292,107,1,6/1/2006 11:18,897,28
293,242,46,6/1/2006 11:19,1275,11
294,19,40,6/1/2006 11:23,934,30
295,120,80,6/1/2006 11:23,1270,29
296,38,164,6/1/2006 11:24,1413,1
297,282,13,6/1/2006 11:25,1220,8
298,54,264,6/1/2006 11:27,1107,19
299,124,2,6/1/2006 11:27,780,1
300,63,1,6/1/2006 11:29,707,29
301,93,62,6/1/2006 11:31,1320,29
302,160,6,6/1/2006 11:33,1307,22
303,82,71,6/1/2006 11:34,677,15
304,92,20,6/1/2006 11:34,881,30
305,353,154,6/1/2006 11:34,768,28
306,342,158,6/1/2006 11:35,1440,29
307,124,2,6/1/2006 11:37,961,1
308,283,37,6/1/2006 11:38,305,28
309,198,279,6/1/2006 11:39,1038,6
310,267,387,6/1/2006 11:39,992,30
311,107,5,6/1/2006 11:40,934,28
312,311,1,6/1/2006 11:40,1098,25
313,327,112,6/1/2006 11:41,782,25
314,175,395,6/1/2006 11:42,698,30
315,329,152,6/1/2006 11:42,1281,11
316,26,339,6/1/2006 11:44,379,11
317,219,4,6/1/2006 11:46,1770,1
318,230,8,6/1/2006 11:46,1222,28
319,363,134,6/1/2006 11:46,681,29
320,241,80,6/1/2006 11:47,940,29
321,334,1,6/1/2006 11:49,1451,11
322,395,175,6/1/2006 11:49,980,11
323,293,51,6/1/2006 11:50,638,22
324,246,16,6/1/2006 11:51,1060,17
325,192,151,6/1/2006 11:52,1045,29
326,103,82,6/1/2006 11:54,1471,18
327,110,83,6/1/2006 11:54,883,30
328,316,5,6/1/2006 11:54,1176,18
329,340,0,6/1/2006 11:55,1106,11
330,213,287,6/1/2006 11:56,866,25
331,116,1,6/1/2006 11:57,1401,30
332,236,13,6/1/2006 11:57,1196,1
333,280,41,6/1/2006 12:02,1406,29
334,229,264,6/1/2006 12:03,932,15
335,374,157,6/1/2006 12:03,1053,13
336,236,167,6/1/2006 12:05,586,1
337,323,367,6/1/2006 12:06,765,28
338,126,42,6/1/2006 12:07,1567,8
339,132,258,6/1/2006 12:07,1196,22
340,342,1,6/1/2006 12:07,903,29
341,153,1,6/1/2006 12:08,1364,10
342,124,2,6/1/2006 12:09,1650,1
343,163,56,6/1/2006 12:09,1170,22
344,24,78,6/1/2006 12:10,870,30
345,320,369,6/1/2006 12:10,1646,28
346,233,53,6/1/2006 12:11,1018,11
347,297,15,6/1/2006 12:11,1545,22
348,272,251,6/1/2006 12:13,1234,11
349,348,163,6/1/2006 12:17,1162,20
350,173,40,6/1/2006 12:18,568,29
351,48,154,6/1/2006 12:21,1250,28
352,283,131,6/1/2006 12:22,865,11
353,316,5,6/1/2006 12:24,1001,18
354,256,1,6/1/2006 12:26,1142,20
355,317,30,6/1/2006 12:26,1153,30
356,172,297,6/1/2006 12:28,649,29
357,191,120,6/1/2006 12:28,917,22
358,128,14,6/1/2006 12:30,757,11
359,12,46,6/1/2006 12:32,1538,11
360,102,305,6/1/2006 12:32,644,13
361,198,66,6/1/2006 12:35,911,6
362,357,158,6/1/2006 12:35,1449,25
363,188,29,6/1/2006 12:36,1301,29
364,321,138,6/1/2006 12:36,1205,16
365,370,49,6/1/2006 12:36,1074,1
366,100,23,6/1/2006 12:38,147,30
367,221,202,6/1/2006 12:41,645,20
368,81,23,6/1/2006 12:43,1336,10
369,176,148,6/1/2006 12:43,999,18
370,221,174,6/1/2006 12:43,979,20
371,338,158,6/1/2006 12:43,686,15
372,351,44,6/1/2006 12:43,907,28
373,56,51,6/1/2006 12:44,1398,22
374,72,35,6/1/2006 12:44,1382,17
375,230,93,6/1/2006 12:47,1657,28
376,364,260,6/1/2006 12:47,443,24
377,50,34,6/1/2006 12:50,1179,11
378,205,347,6/1/2006 12:50,246,28
379,284,260,6/1/2006 12:51,894,22
380,123,19,6/1/2006 12:54,1160,25
381,277,9,6/1/2006 12:54,881,28
382,273,0,6/1/2006 12:55,1162,29
383,133,21,6/1/2006 12:56,778,13
384,336,6,6/1/2006 12:57,743,30
385,341,0,6/1/2006 13:00,1038,20
386,12,135,6/1/2006 13:01,1019,29
387,237,1,6/1/2006 13:01,859,20
388,373,61,6/1/2006 13:01,1118,11
389,380,120,6/1/2006 13:01,1890,29
390,223,160,6/1/2006 13:06,783,30
391,2,200,6/1/2006 13:07,913,29
392,34,325,6/1/2006 13:07,1364,15
393,152,69,6/1/2006 13:07,1364,29
394,0,175,6/1/2006 13:08,1457,7
395,399,3,6/1/2006 13:10,859,20
396,94,1,6/1/2006 13:11,1524,6
397,399,90,6/1/2006 13:11,1587,24
398,87,35,6/1/2006 13:12,836,11
399,117,377,6/1/2006 13:12,828,11
400,142,81,6/1/2006 13:14,1061,29
401,164,55,6/1/2006 13:14,795,30
402,303,131,6/1/2006 13:14,789,26
403,277,9,6/1/2006 13:15,701,28
404,144,149,6/1/2006 13:16,1530,16
405,349,23,6/1/2006 13:16,1195,1
406,72,15,6/1/2006 13:17,1391,17
407,230,8,6/1/2006 13:17,731,28
408,20,223,6/1/2006 13:18,1418,30
409,327,112,6/1/2006 13:18,826,25
410,182,38,6/1/2006 13:19,1542,28
411,247,239,6/1/2006 13:19,779,22
412,168,2,6/1/2006 13:20,706,22
413,276,360,6/1/2006 13:22,1149,29
414,243,19,6/1/2006 13:26,1320,1
415,380,363,6/1/2006 13:26,447,29
416,281,1,6/1/2006 13:27,702,28
417,313,162,6/1/2006 13:31,725,28
418,350,382,6/1/2006 13:31,1384,24
419,44,74,6/1/2006 13:33,1161,21
420,103,274,6/1/2006 13:35,1423,18
421,121,8,6/1/2006 13:35,1166,28
422,237,206,6/1/2006 13:35,894,20
423,52,253,6/1/2006 13:36,1092,18
424,110,117,6/1/2006 13:36,531,30
425,311,37,6/1/2006 13:36,747,25
426,345,283,6/1/2006 13:36,1118,1
427,55,38,6/1/2006 13:37,1183,20
428,326,5,6/1/2006 13:38,1102,18
429,376,20,6/1/2006 13:39,773,13
430,48,2,6/1/2006 13:40,938,28
431,88,53,6/1/2006 13:42,987,29
432,117,12,6/1/2006 13:44,1205,28
433,144,149,6/1/2006 13:44,1278,16
434,320,243,6/1/2006 13:44,1417,29
435,113,5,6/1/2006 13:45,1178,30
436,338,332,6/1/2006 13:45,638,15
437,95,19,6/1/2006 13:49,1489,27
438,273,162,6/1/2006 13:49,1208,29
439,336,248,6/1/2006 13:49,1128,30
440,336,6,6/1/2006 13:50,1015,30
441,357,341,6/1/2006 13:50,828,25
442,91,13,6/1/2006 13:51,582,30
443,188,29,6/1/2006 13:51,147,28
444,365,62,6/1/2006 13:54,1054,21
445,366,30,6/1/2006 13:54,1443,7
446,99,56,6/1/2006 13:55,1450,28
447,381,199,6/1/2006 13:55,986,29
448,162,17,6/1/2006 13:56,1354,30
449,207,162,6/1/2006 13:56,1265,30
450,369,320,6/1/2006 13:56,1682,22
451,53,233,6/1/2006 14:01,1663,28
452,235,158,6/1/2006 14:02,1065,23
453,23,39,6/1/2006 14:04,1009,11
454,66,14,6/1/2006 14:04,1496,28
455,118,359,6/1/2006 14:04,1438,30
456,248,0,6/1/2006 14:04,1116,15
457,395,175,6/1/2006 14:05,1027,11
458,172,297,6/1/2006 14:06,1094,29
459,111,41,6/1/2006 14:07,1022,29
460,131,11,6/1/2006 14:09,1162,22
461,167,236,6/1/2006 14:09,1425,15
462,126,213,6/1/2006 14:11,1324,8
463,374,157,6/1/2006 14:12,1598,13
464,351,44,6/1/2006 14:13,693,28
465,162,17,6/1/2006 14:16,536,30
466,224,34,6/1/2006 14:16,1051,24
467,13,394,6/1/2006 14:18,834,13
468,157,61,6/1/2006 14:19,973,1
469,338,332,6/1/2006 14:19,1721,15
470,71,5,6/1/2006 14:20,679,28
471,94,1,6/1/2006 14:20,1397,6
472,178,133,6/1/2006 14:20,1539,11
473,383,92,6/1/2006 14:20,1284,10
474,23,115,6/1/2006 14:21,1449,11
475,114,87,6/1/2006 14:23,432,1
476,20,223,6/1/2006 14:24,1604,30
477,31,5,6/1/2006 14:25,905,30
478,71,224,6/1/2006 14:25,881,28
479,187,66,6/1/2006 14:25,1115,30
480,264,54,6/1/2006 14:26,717,29
481,27,257,6/1/2006 14:27,930,25
482,217,129,6/1/2006 14:28,745,6
483,337,41,6/1/2006 14:28,930,28
484,396,81,6/1/2006 14:32,1679,18
485,20,132,6/1/2006 14:33,828,30
486,133,178,6/1/2006 14:37,1141,13
487,11,29,6/1/2006 14:38,1179,30
488,337,41,6/1/2006 14:38,1264,28
489,293,305,6/1/2006 14:39,1415,22
490,104,83,6/1/2006 14:40,1176,26
491,243,320,6/1/2006 14:40,1198,1
492,384,189,6/1/2006 14:40,562,29
493,350,19,6/1/2006 14:41,985,24
494,27,392,6/1/2006 14:43,1113,25
495,133,70,6/1/2006 14:44,1215,13
496,365,62,6/1/2006 14:46,1429,21
497,240,95,6/1/2006 14:47,1195,30
498,20,66,6/1/2006 14:48,644,30
499,246,16,6/1/2006 14:48,1283,17
500,320,369,6/1/2006 14:48,333,28
501,7,108,6/1/2006 14:50,1198,29
502,168,2,6/1/2006 14:50,1055,22
503,22,19,6/1/2006 14:52,833,24
504,296,217,6/1/2006 14:52,1036,11
505,321,3,6/1/2006 14:52,938,16
506,24,78,6/1/2006 14:53,658,30
507,378,0,6/1/2006 14:53,850,30
508,386,247,6/1/2006 14:53,1439,11
509,259,148,6/1/2006 14:54,931,30
510,336,6,6/1/2006 14:55,628,30
511,76,52,6/1/2006 14:56,790,29
512,110,117,6/1/2006 14:56,1082,30
513,220,186,6/1/2006 14:56,965,24
514,320,243,6/1/2006 14:56,1350,28
515,382,17,6/1/2006 14:58,1484,15
516,330,275,6/1/2006 15:00,1139,27
517,354,25,6/1/2006 15:00,901,30
518,109,0,6/1/2006 15:01,845,11
519,266,190,6/1/2006 15:01,1129,11
520,294,87,6/1/2006 15:01,1714,22
521,53,36,6/1/2006 15:02,879,28
522,299,52,6/1/2006 15:04,452,29
523,126,42,6/1/2006 15:05,1150,8
524,272,251,6/1/2006 15:05,1092,11
525,162,207,6/1/2006 15:07,1458,30
526,252,49,6/1/2006 15:07,704,29
527,278,239,6/1/2006 15:07,989,23
528,287,213,6/1/2006 15:07,1220,11
529,321,3,6/1/2006 15:07,954,16
530,282,13,6/1/2006 15:08,797,19
531,112,341,6/1/2006 15:09,1356,18
532,216,1,6/1/2006 15:09,1400,29
533,170,270,6/1/2006 15:10,879,23
534,337,41,6/1/2006 15:10,1279,28
535,363,380,6/1/2006 15:13,1294,29
536,121,8,6/1/2006 15:17,1069,28
537,38,1,6/1/2006 15:18,1089,1
538,48,395,6/1/2006 15:18,1225,28
539,338,158,6/1/2006 15:22,614,15
540,338,158,6/1/2006 15:22,899,15
541,3,31,6/1/2006 15:26,1193,30
542,250,13,6/1/2006 15:26,362,29
543,366,30,6/1/2006 15:26,1148,7
544,312,275,6/1/2006 15:27,1033,29
545,123,212,6/1/2006 15:28,617,25
546,86,1,6/1/2006 15:29,1069,7
547,341,357,6/1/2006 15:29,1197,20
548,295,3,6/1/2006 15:30,1410,30
549,368,196,6/1/2006 15:30,1788,11
550,292,1,6/1/2006 15:31,1166,13
551,180,93,6/1/2006 15:32,1429,10
552,67,19,6/1/2006 15:33,1468,16
553,274,172,6/1/2006 15:33,1660,10
554,2,34,6/1/2006 15:34,549,11
555,103,137,6/1/2006 15:34,1017,18
556,359,118,6/1/2006 15:34,1170,21
557,347,113,6/1/2006 15:35,1800,22
558,11,29,6/1/2006 15:36,1499,30
559,95,240,6/1/2006 15:36,1460,27
560,144,149,6/1/2006 15:36,927,17
561,265,32,6/1/2006 15:38,1240,29
562,45,4,6/1/2006 15:39,680,27
563,53,36,6/1/2006 15:39,519,28
564,156,101,6/1/2006 15:40,1012,20
565,332,0,6/1/2006 15:40,755,11
566,97,20,6/1/2006 15:41,1048,22
567,129,21,6/1/2006 15:41,1529,28
568,305,102,6/1/2006 15:41,1343,6
569,28,239,6/1/2006 15:42,1046,22
570,235,161,6/1/2006 15:42,252,23
571,228,3,6/1/2006 15:43,1268,13
572,372,66,6/1/2006 15:45,998,27
573,168,130,6/1/2006 15:47,1210,22
574,285,8,6/1/2006 15:47,1511,30
575,180,5,6/1/2006 15:51,1342,10
576,277,9,6/1/2006 15:51,901,28
577,218,15,6/1/2006 15:52,1067,30
578,221,174,6/1/2006 15:52,1346,20
579,310,54,6/1/2006 15:54,1260,20
580,40,19,6/1/2006 15:56,1068,24
581,85,156,6/1/2006 15:57,993,30
582,284,260,6/1/2006 15:57,1394,22
583,314,250,6/1/2006 15:57,793,17
584,176,54,6/1/2006 15:58,1247,18
585,378,275,6/1/2006 15:59,977,30
586,395,48,6/1/2006 16:01,898,11
587,199,13,6/1/2006 16:02,923,14
588,60,55,6/1/2006 16:05,1207,20
589,260,24,6/1/2006 16:05,1241,28
590,275,51,6/1/2006 16:05,1029,30
591,76,71,6/1/2006 16:07,1678,29
592,85,86,6/1/2006 16:07,898,30
593,15,297,6/1/2006 16:09,1058,7
594,22,26,6/1/2006 16:09,1297,24
595,152,69,6/1/2006 16:11,878,29
596,9,74,6/1/2006 16:12,923,25
597,69,387,6/1/2006 16:13,838,17
598,73,37,6/1/2006 16:13,1505,21
599,220,186,6/1/2006 16:14,1139,24
600,172,375,6/1/2006 16:15,1410,29
601,131,11,6/1/2006 16:16,783,22
602,29,188,6/1/2006 16:17,800,25
603,130,168,6/1/2006 16:17,1384,28
604,114,5,6/1/2006 16:18,1463,30
605,73,122,6/1/2006 16:19,1138,21
606,92,383,6/1/2006 16:20,1330,30
607,326,90,6/1/2006 16:20,266,18
608,71,82,6/1/2006 16:21,1397,29
609,395,175,6/1/2006 16:21,584,11
610,44,7,6/1/2006 16:22,1189,21
611,227,1,6/1/2006 16:26,1458,29
612,243,320,6/1/2006 16:26,1011,1
613,310,61,6/1/2006 16:26,1076,29
614,264,229,6/1/2006 16:28,1373,29
615,3,208,6/1/2006 16:29,1288,30
616,180,5,6/1/2006 16:29,1220,10
617,95,19,6/1/2006 16:32,944,27
618,43,127,6/1/2006 16:33,747,15
619,53,36,6/1/2006 16:39,1231,28
620,223,160,6/1/2006 16:39,1445,30
621,224,34,6/1/2006 16:39,794,24
622,50,34,6/1/2006 16:42,896,11
623,174,158,6/1/2006 16:42,931,2
624,104,83,6/1/2006 16:43,918,26
625,187,66,6/1/2006 16:44,1236,30
626,194,291,6/1/2006 16:44,1041,19
627,317,379,6/1/2006 16:46,1597,30
628,376,20,6/1/2006 16:47,789,13
629,119,259,6/1/2006 16:49,1082,20
630,221,174,6/1/2006 16:49,1247,20
631,305,293,6/1/2006 16:51,1105,6
632,361,189,6/1/2006 16:52,1481,28
633,255,87,6/1/2006 16:54,1091,28
634,348,5,6/1/2006 16:56,984,23
635,94,362,6/1/2006 16:57,527,6
636,346,120,6/1/2006 16:59,1296,28
637,172,1,6/1/2006 17:00,747,29
638,363,380,6/1/2006 17:00,982,29
639,87,255,6/1/2006 17:01,1188,11
640,385,179,6/1/2006 17:04,1064,6
641,143,52,6/1/2006 17:06,908,28
642,84,2,6/1/2006 17:10,980,11
643,130,14,6/1/2006 17:11,975,28
644,167,1,6/1/2006 17:11,1468,15
645,247,103,6/1/2006 17:11,974,25
